human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,failed alignments / total residues,% identity,% similarity,best class alignment,actual class,Class Match,PDB
GPR12,gpr12,16,20,4,1,0.04,80,100,Class_A,Class_A,classes match,7Y3G
GPR12,gpr12,20,21,1,2,0.083333333,95.24,100,Class_B1,Class_A,classes mismatch,7Y3G
GPR12,gpr12,18,20,2,0,0,90,100,Class_C,Class_A,classes mismatch,7Y3G
GPR132,gpr132a,2,2,0,26,0.928571429,100,100,Class_B1,Class_A,classes mismatch,8HQE
GPR132,gpr132a,12,16,4,7,0.259259259,75,100,Class_C,Class_A,classes mismatch,8HQE
GPR132,gpr132b,11,12,1,6,0.315789474,91.67,100,Class_A,Class_A,classes match,8HQE
GPR132,gpr132b,15,17,2,11,0.366666667,88.24,100,Class_B1,Class_A,classes mismatch,8HQE
GPR135,gpr135,7,13,7,3,0.130434783,50,92.86,Class_C,Class_A,classes mismatch,-
GPR139,gpr139,18,19,1,3,0.130434783,94.74,100,Class_A,Class_A,classes match,7VUG
GPR139,gpr139,20,22,2,3,0.111111111,90.91,100,Class_B1,Class_A,classes mismatch,7VUG
GPR139,gpr139,12,14,2,5,0.238095238,85.71,100,Class_F,Class_A,classes mismatch,7VUG
GPR142,gpr142,9,11,2,2,0.133333333,81.82,100,Class_A,Class_A,classes match,-
GPR146,gpr146,14,17,5,1,0.043478261,73.68,89.47,Class_C,Class_A,classes mismatch,-
GPR151,gpr151,11,13,4,5,0.227272727,73.33,86.67,Class_A,Class_A,classes match,-
GPR153,gpr153,17,19,2,2,0.086956522,89.47,100,Class_A,Class_A,classes match,-
GPR153,gpr153,20,22,2,1,0.04,90.91,100,Class_C,Class_A,classes mismatch,-
GPR156,gpr156,11,13,3,2,0.111111111,78.57,92.86,Class_A,Class_A,classes match,8YPJ
GPR158,gpr158a,4,4,0,22,0.846153846,100,100,Class_B1,Class_C,classes mismatch,7EWL
GPR158,gpr158b,19,21,3,4,0.142857143,86.36,95.45,Class_B1,Class_C,classes mismatch,7EWL
GPR160,gpr160,3,4,3,9,0.5625,50,66.67,Class_A,Class_A,classes match,-
GPR161,gpr161b,15,18,3,2,0.086956522,83.33,100,Class_C,Class_A,classes mismatch,8SMV
GPR17,gpr17,17,17,0,1,0.055555556,100,100,Class_A,Class_A,classes match,7Y89
GPR17,gpr17,2,3,1,21,0.84,66.67,100,Class_C,Class_A,classes mismatch,7Y89
GPR17,gpr17,15,17,2,15,0.441176471,88.24,100,Class_F,Class_A,classes mismatch,7Y89
GPR171,gpr171,9,17,8,1,0.038461538,52.94,100,Class_F,Class_A,classes mismatch,-
GPR173,gpr173,16,16,0,3,0.157894737,100,100,Class_A,Class_A,classes match,-
GPR173,gpr173,18,18,0,3,0.142857143,100,100,Class_C,Class_A,classes mismatch,-
GPR173,gpr173,14,16,2,4,0.181818182,87.5,100,Class_F,Class_A,classes mismatch,-
GPR174,gpr174,15,15,0,4,0.210526316,100,100,Class_A,Class_A,classes match,7XV3
GPR176,gpr176,8,14,6,4,0.166666667,57.14,100,Class_A,Class_A,classes match,-
GPR18,gpr18,18,24,7,2,0.060606061,72,96,Class_B1,Class_A,classes mismatch,-
GPR183,gpr183a,12,13,2,3,0.166666667,85.71,92.86,Class_A,Class_A,classes match,7TUY
GPR183,gpr183b,20,21,3,3,0.111111111,86.96,91.3,Class_F,Class_A,classes mismatch,7TUY
GPR19,gpr19,17,22,5,0,0,77.27,100,Class_B1,Class_A,classes mismatch,-
GPR20,gpr20,17,18,2,2,0.090909091,89.47,94.74,Class_C,Class_A,classes mismatch,8HS2
GPR22,gpr22a,19,20,1,2,0.086956522,95,100,Class_A,Class_A,classes match,-
GPR22,gpr22b,19,21,2,1,0.041666667,90.48,100,Class_A,Class_A,classes match,-
GPR25,gpr25,8,16,9,4,0.137931034,47.06,94.12,Class_C,Class_A,classes mismatch,-
GPR26,gpr26,17,20,4,3,0.111111111,80.95,95.24,Class_F,Class_A,classes mismatch,-
GPR27,gpr27,8,11,3,7,0.333333333,72.73,100,Class_A,Class_A,classes match,-
GPR27,gpr27,10,16,6,1,0.043478261,62.5,100,Class_C,Class_A,classes mismatch,-
GPR27,gpr27,9,12,3,7,0.318181818,75,100,Class_F,Class_A,classes mismatch,-
GPR3,gpr3,15,19,7,0,0,68.18,86.36,Class_B1,Class_A,classes mismatch,9M88
GPR34,gpr34a,14,17,3,2,0.090909091,82.35,100,Class_A,Class_A,classes match,8IYX
GPR34,gpr34b,16,17,1,2,0.1,94.12,100,Class_A,Class_A,classes match,8IYX
GPR34,gpr34b,5,7,2,20,0.689655172,71.43,100,Class_B1,Class_A,classes mismatch,8IYX
GPR35,gpr35.1,15,22,7,4,0.121212121,68.18,100,Class_B1,Class_A,classes mismatch,8H8J
GPR37,gpr37a,14,14,0,1,0.066666667,100,100,Class_A,Class_A,classes match,-
GPR37,gpr37b,13,13,0,2,0.133333333,100,100,Class_A,Class_A,classes match,-
GPR37,gpr37b,16,19,3,1,0.043478261,84.21,100,Class_C,Class_A,classes mismatch,-
GPR37L1,gpr37l1a,2,3,1,19,0.826086957,66.67,100,Class_C,Class_A,classes mismatch,-
GPR37L1,gpr37l1b,18,24,7,0,0,72,96,Class_B1,Class_A,classes mismatch,-
GPR39,gpr39,16,20,4,0,0,80,100,Class_A,Class_A,classes match,-
GPR39,gpr39,18,20,2,1,0.043478261,90,100,Class_C,Class_A,classes mismatch,-
GPR39,gpr39,1,2,1,29,0.90625,50,100,Class_F,Class_A,classes mismatch,-
GPR4,gpr4,18,18,0,1,0.052631579,100,100,Class_A,Class_A,classes match,9JVM
GPR4,gpr4,24,27,3,1,0.032258065,88.89,100,Class_B1,Class_A,classes mismatch,9JVM
GPR45,gpr45,21,24,3,2,0.068965517,87.5,100,Class_B1,Class_A,classes mismatch,-
GPR52,gpr52,20,22,2,0,0,90.91,100,Class_A,Class_A,classes match,6LI2
GPR52,gpr52,20,20,0,1,0.047619048,100,100,Class_B1,Class_A,classes mismatch,6LI2
GPR52,gpr52,4,4,0,17,0.80952381,100,100,Class_C,Class_A,classes mismatch,6LI2
GPR55,gpr55a,2,2,0,19,0.904761905,100,100,Class_C,Class_A,classes mismatch,9IYA
GPR6,gpr6,12,15,3,6,0.25,80,100,Class_A,Class_A,classes match,8T1V
GPR6,gpr6,17,20,3,3,0.115384615,85,100,Class_B1,Class_A,classes mismatch,8T1V
GPR6,gpr6,15,19,4,1,0.041666667,78.95,100,Class_C,Class_A,classes mismatch,8T1V
GPR61,gpr61,19,22,3,0,0,86.36,100,Class_B1,Class_A,classes mismatch,6KGK
GPR61,gpr61,15,16,1,5,0.227272727,93.75,100,Class_C,Class_A,classes mismatch,6KGK
GPR63,gpr63,4,4,0,18,0.818181818,100,100,Class_C,Class_A,classes mismatch,-
GPR65,gpr65,8,13,6,3,0.136363636,57.14,92.86,Class_A,Class_A,classes match,9BHL
GPR75,gpr75,23,24,1,1,0.038461538,95.83,100,Class_B1,Class_A,classes mismatch,-
GPR75,gpr75,12,13,1,7,0.333333333,92.31,100,Class_C,Class_A,classes mismatch,-
GPR78,gpr78a,12,21,10,4,0.114285714,54.55,95.45,Class_B1,Class_A,classes mismatch,-
GPR78,gpr78b,16,23,8,3,0.088235294,66.67,95.83,Class_F,Class_A,classes mismatch,-
GPR84,gpr84,13,15,2,2,0.105263158,86.67,100,Class_A,Class_A,classes match,8J18
GPR84,gpr84,20,24,4,2,0.066666667,83.33,100,Class_B1,Class_A,classes mismatch,8J18
GPR84,gpr84,14,18,4,2,0.083333333,77.78,100,Class_C,Class_A,classes mismatch,8J18
GPR85,gpr85,18,18,0,1,0.052631579,100,100,Class_A,Class_A,classes match,-
GPR85,gpr85,21,21,0,2,0.086956522,100,100,Class_C,Class_A,classes mismatch,-
GPRC5B,gprc5ba,16,21,8,2,0.064516129,66.67,87.5,Class_A,Class_A,classes match,-
GPRC5B,gprc5bb,13,18,7,2,0.074074074,65,90,Class_C,Class_A,classes mismatch,-
GPRC5C,gprc5c,17,19,2,2,0.086956522,89.47,100,Class_C,Class_A,classes mismatch,-
GPRC6A,gprc6a,7,8,1,14,0.608695652,87.5,100,Class_C,Class_C,classes match,-
GRM1,grm1a,23,24,1,0,0,95.83,100,Class_A,Class_C,classes mismatch,4OR2
GRM1,grm1a,10,10,0,12,0.545454545,100,100,Class_B1,Class_C,classes mismatch,4OR2
GRM1,grm1a,22,22,0,1,0.043478261,100,100,Class_C,Class_C,classes match,4OR2
GRM1,grm1b,21,23,2,1,0.038461538,91.3,100,Class_A,Class_C,classes mismatch,4OR2
GRM1,grm1b,0,1,1,21,0.913043478,0,100,Class_B1,Class_C,classes mismatch,4OR2
GRM1,grm1b,20,22,2,1,0.04,90.91,100,Class_C,Class_C,classes match,4OR2
GRM2,grm2a,16,19,3,1,0.043478261,84.21,100,Class_A,Class_C,classes mismatch,4XAQ
GRM2,grm2b,20,24,4,1,0.034482759,83.33,100,Class_F,Class_C,classes mismatch,4XAQ
GRM3,grm3,18,20,2,0,0,90,100,Class_A,Class_C,classes mismatch,3SM9
GRM3,grm3,24,24,0,3,0.111111111,100,100,Class_B1,Class_C,classes mismatch,3SM9
GRM3,grm3,23,23,0,0,0,100,100,Class_C,Class_C,classes match,3SM9
GRM3,grm3,24,25,1,2,0.071428571,96,100,Class_F,Class_C,classes mismatch,3SM9
GRM4,grm4,23,23,0,1,0.041666667,100,100,Class_A,Class_C,classes mismatch,8WG9
GRM4,grm4,22,22,0,3,0.12,100,100,Class_B1,Class_C,classes mismatch,8WG9
GRM4,grm4,8,8,0,15,0.652173913,100,100,Class_C,Class_C,classes match,8WG9
GRM5,grm5a,21,23,2,2,0.074074074,91.3,100,Class_A,Class_C,classes mismatch,4OO9
GRM5,grm5a,21,21,0,1,0.045454545,100,100,Class_B1,Class_C,classes mismatch,4OO9
GRM5,grm5a,20,20,0,1,0.047619048,100,100,Class_C,Class_C,classes match,4OO9
GRM5,grm5b,20,20,0,1,0.047619048,100,100,Class_C,Class_C,classes match,4OO9
GRM6,grm6a,19,22,3,2,0.074074074,86.36,100,Class_B1,Class_C,classes mismatch,-
GRM6,grm6a,13,15,2,11,0.392857143,86.67,100,Class_F,Class_C,classes mismatch,-
GRM6,grm6b,22,24,2,0,0,91.67,100,Class_B1,Class_C,classes mismatch,-
GRM6,grm6b,22,26,4,0,0,84.62,100,Class_F,Class_C,classes mismatch,-
GRM8,grm8a,19,20,1,2,0.086956522,95,100,Class_A,Class_C,classes mismatch,6BT5
GRM8,grm8a,22,22,0,3,0.12,100,100,Class_B1,Class_C,classes mismatch,6BT5
GRM8,grm8a,23,24,1,1,0.038461538,95.83,100,Class_C,Class_C,classes match,6BT5
GRM8,grm8a,12,14,2,13,0.448275862,85.71,100,Class_F,Class_C,classes mismatch,6BT5
GRM8,grm8b,20,21,1,1,0.043478261,95.24,100,Class_A,Class_C,classes mismatch,6BT5
GRM8,grm8b,25,25,0,0,0,100,100,Class_B1,Class_C,classes mismatch,6BT5
GRM8,grm8b,23,24,1,1,0.038461538,95.83,100,Class_C,Class_C,classes match,6BT5
GRM8,grm8b,12,15,3,12,0.4,80,100,Class_F,Class_C,classes mismatch,6BT5
HCAR1,hcar1-1,17,25,9,1,0.028571429,65.38,96.15,Class_B1,Class_A,classes mismatch,8Z87
HCAR1,hcar1-2,0,1,1,22,0.916666667,0,100,Class_C,Class_A,classes mismatch,8Z87
HCRTR2,hcrtr2,13,14,1,3,0.166666667,92.86,100,Class_A,Class_A,classes match,4S0V
HCRTR2,hcrtr2,16,18,2,1,0.047619048,88.89,100,Class_C,Class_A,classes mismatch,4S0V
HCRTR2,hcrtr2,4,5,1,16,0.727272727,80,100,Class_F,Class_A,classes mismatch,4S0V
HRH1,hrh1,0,2,3,9,0.642857143,0,66.67,Class_A,Class_A,classes match,3RZE
HRH2,hrh2a,19,22,3,3,0.107142857,86.36,100,Class_B1,Class_A,classes mismatch,7UL3
HRH2,hrh2b,20,21,3,2,0.076923077,86.96,91.3,Class_B1,Class_A,classes mismatch,7UL3
HRH3,hrh3,20,21,1,1,0.043478261,95.24,100,Class_A,Class_A,classes match,7F61
HRH3,hrh3,20,23,3,1,0.037037037,86.96,100,Class_B1,Class_A,classes mismatch,7F61
HRH3,hrh3,15,15,0,8,0.347826087,100,100,Class_C,Class_A,classes mismatch,7F61
HTR1A,htr1aa,18,18,0,1,0.052631579,100,100,Class_A,Class_A,classes match,9VJG
HTR1A,htr1aa,19,19,0,1,0.05,100,100,Class_C,Class_A,classes mismatch,9VJG
HTR1A,htr1ab,17,18,1,1,0.05,94.44,100,Class_A,Class_A,classes match,9VJG
HTR1A,htr1ab,24,24,0,2,0.076923077,100,100,Class_B1,Class_A,classes mismatch,9VJG
HTR1A,htr1ab,11,11,0,9,0.45,100,100,Class_C,Class_A,classes mismatch,9VJG
HTR1B,htr1b,18,19,1,1,0.047619048,94.74,100,Class_A,Class_A,classes match,4IAQ
HTR1B,htr1b,22,23,1,1,0.04,95.65,100,Class_B1,Class_A,classes mismatch,4IAQ
HTR1D,htr1d,19,20,1,0,0,95,100,Class_A,Class_A,classes match,7E32
HTR1D,htr1d,20,22,2,2,0.076923077,90.91,100,Class_B1,Class_A,classes mismatch,7E32
HTR1F,htr1fa,21,24,3,1,0.035714286,87.5,100,Class_B1,Class_A,classes mismatch,7EXD
HTR1F,htr1fa,12,15,3,2,0.1,80,100,Class_C,Class_A,classes mismatch,7EXD
HTR1F,htr1fb,17,18,1,2,0.095238095,94.44,100,Class_A,Class_A,classes match,7EXD
HTR1F,htr1fb,23,24,1,1,0.038461538,95.83,100,Class_B1,Class_A,classes mismatch,7EXD
HTR1F,htr1fb,13,17,4,0,0,76.47,100,Class_C,Class_A,classes mismatch,7EXD
HTR2A,htr2ab,18,19,1,1,0.047619048,94.74,100,Class_A,Class_A,classes match,6WGT
HTR2A,htr2ab,15,19,4,1,0.041666667,78.95,100,Class_C,Class_A,classes mismatch,6WGT
HTR2B,htr2b,17,20,4,3,0.111111111,80.95,95.24,Class_B1,Class_A,classes mismatch,5TVN
HTR4,htr4,20,20,0,0,0,100,100,Class_A,Class_A,classes match,7XT8
HTR4,htr4,18,20,2,2,0.083333333,90,100,Class_C,Class_A,classes mismatch,7XT8
HTR5A,htr5aa,20,21,1,0,0,95.24,100,Class_A,Class_A,classes match,7UM4
HTR5A,htr5aa,19,19,0,2,0.095238095,100,100,Class_B1,Class_A,classes mismatch,7UM4
HTR5A,htr5aa,19,19,0,2,0.095238095,100,100,Class_C,Class_A,classes mismatch,7UM4
HTR5A,htr5aa,10,11,1,8,0.4,90.91,100,Class_F,Class_A,classes mismatch,7UM4
HTR5A,htr5ab,20,21,1,0,0,95.24,100,Class_A,Class_A,classes match,7UM4
HTR5A,htr5ab,19,19,0,2,0.095238095,100,100,Class_B1,Class_A,classes mismatch,7UM4
HTR5A,htr5ab,7,7,0,14,0.666666667,100,100,Class_C,Class_A,classes mismatch,7UM4
HTR6,htr6,21,23,2,2,0.074074074,91.3,100,Class_B1,Class_A,classes mismatch,8JLZ
HTR6,htr6,11,13,2,7,0.318181818,84.62,100,Class_C,Class_A,classes mismatch,8JLZ
HTR7,htr7a,21,21,0,0,0,100,100,Class_A,Class_A,classes match,7XTC
HTR7,htr7a,23,24,1,0,0,95.83,100,Class_B1,Class_A,classes mismatch,7XTC
HTR7,htr7a,17,17,0,2,0.105263158,100,100,Class_C,Class_A,classes mismatch,7XTC
KISS1R,kiss1ra,14,22,9,1,0.03125,60.87,95.65,Class_B1,Class_A,classes mismatch,8XGS
KISS1R,kiss1rb,14,18,5,5,0.178571429,73.68,94.74,Class_B1,Class_A,classes mismatch,8XGS
LGR4,lgr4,19,19,0,3,0.136363636,100,100,Class_A,Class_B2,classes mismatch,8WVV
LGR4,lgr4,17,19,2,4,0.16,89.47,100,Class_F,Class_B2,classes mismatch,8WVV
LGR6,lgr6,11,15,4,9,0.321428571,73.33,100,Class_F,Class_B2,classes mismatch,4C9E
LHCGR,lhcgr,1,1,0,21,0.954545455,100,100,Class_B1,Class_A,classes mismatch,7FIG
LPAR1,lpar1,25,26,1,0,0,96.15,100,Class_B1,Class_A,classes mismatch,4Z34
LPAR1,lpar1,20,21,1,0,0,95.24,100,Class_C,Class_A,classes mismatch,4Z34
LPAR2,lpar2a,20,23,4,1,0.035714286,83.33,95.83,Class_B1,Class_A,classes mismatch,-
LPAR2,lpar2b,20,23,3,2,0.071428571,86.96,100,Class_B1,Class_A,classes mismatch,-
LPAR3,lpar3,11,16,5,1,0.045454545,68.75,100,Class_A,Class_A,classes match,-
LPAR3,lpar3,22,23,1,3,0.111111111,95.65,100,Class_B1,Class_A,classes mismatch,-
LPAR4,lpar4,13,14,1,2,0.117647059,92.86,100,Class_A,Class_A,classes match,-
LPAR4,lpar4,22,27,5,0,0,81.48,100,Class_B1,Class_A,classes mismatch,-
LPAR4,lpar4,18,20,2,1,0.043478261,90,100,Class_C,Class_A,classes mismatch,-
LPAR5,lpar5a,9,18,12,7,0.189189189,42.86,85.71,Class_B1,Class_A,classes mismatch,-
LPAR5,lpar5b,8,14,10,10,0.294117647,44.44,77.78,Class_B1,Class_A,classes mismatch,-
LPAR6,lpar6a,16,16,0,0,0,100,100,Class_A,Class_A,classes match,5XSZ
LPAR6,lpar6a,13,14,1,13,0.464285714,92.86,100,Class_B1,Class_A,classes mismatch,5XSZ
LPAR6,lpar6a,15,19,4,1,0.041666667,78.95,100,Class_C,Class_A,classes mismatch,5XSZ
LPAR6,lpar6a,13,13,0,6,0.315789474,100,100,Class_F,Class_A,classes mismatch,5XSZ
LPAR6,lpar6b,22,24,3,2,0.068965517,88,96,Class_B1,Class_A,classes mismatch,5XSZ
LTB4R,ltb4r,11,23,13,0,0,45.83,95.83,Class_B1,Class_A,classes mismatch,7K15
LTB4R2,ltb4r2a,9,16,8,8,0.25,52.94,94.12,Class_B1,Class_A,classes mismatch,-
LTB4R2,ltb4r2b,8,18,12,5,0.142857143,40,90,Class_B1,Class_A,classes mismatch,-
MC1R,mc1r,12,12,1,5,0.277777778,92.31,92.31,Class_C,Class_A,classes mismatch,7F4F
MC2R,mc2r,7,8,3,7,0.388888889,70,80,Class_A,Class_A,classes match,9K3L
MC3R,mc3r,17,17,0,2,0.105263158,100,100,Class_A,Class_A,classes match,8KIG
MC3R,mc3r,19,22,3,1,0.038461538,86.36,100,Class_B1,Class_A,classes mismatch,8KIG
MC4R,mc4r,12,13,1,5,0.263157895,92.31,100,Class_A,Class_A,classes match,6W25
MC4R,mc4r,15,15,0,6,0.285714286,100,100,Class_B1,Class_A,classes mismatch,6W25
MC4R,mc4r,5,5,0,12,0.705882353,100,100,Class_C,Class_A,classes mismatch,6W25
MC5R,mc5ra,17,18,1,0,0,94.44,100,Class_A,Class_A,classes match,8INR
MC5R,mc5ra,10,11,1,8,0.4,90.91,100,Class_C,Class_A,classes mismatch,8INR
MC5R,mc5rb,15,17,2,1,0.05,88.24,100,Class_A,Class_A,classes match,8INR
MC5R,mc5rb,2,2,0,17,0.894736842,100,100,Class_C,Class_A,classes mismatch,8INR
MC5R,mc5rb,13,13,0,11,0.458333333,100,100,Class_F,Class_A,classes mismatch,8INR
MCHR1,mchr1a,18,25,8,1,0.029411765,69.23,96.15,Class_B1,Class_A,classes mismatch,8YNT
MCHR1,mchr1b,0,2,2,20,0.833333333,0,100,Class_F,Class_A,classes mismatch,8YNT
MCHR2,mchr2a,17,22,5,3,0.1,77.27,100,Class_B1,Class_A,classes mismatch,8WST
MCHR2,mchr2a,13,14,1,1,0.0625,92.86,100,Class_F,Class_A,classes mismatch,8WST
MCHR2,mchr2b,0,0,1,17,0.944444444,0,0,Class_A,Class_A,classes match,8WST
MCHR2,mchr2b,0,0,1,24,0.96,0,0,Class_B1,Class_A,classes mismatch,8WST
MCHR2,mchr2b,0,0,1,20,0.952380952,0,0,Class_C,Class_A,classes mismatch,8WST
MCHR2,mchr2b,0,0,1,14,0.933333333,0,0,Class_F,Class_A,classes mismatch,8WST
MLNR,mlnr,5,10,5,7,0.318181818,50,100,Class_F,Class_A,classes mismatch,9JMC
MTNR1A,mtnr1aa,0,1,1,20,0.909090909,0,100,Class_C,Class_A,classes mismatch,6ME3
MTNR1A,mtnr1aa,13,15,2,4,0.19047619,86.67,100,Class_F,Class_A,classes mismatch,6ME3
MTNR1A,mtnr1ab,16,17,1,1,0.052631579,94.12,100,Class_A,Class_A,classes match,6ME3
MTNR1A,mtnr1ab,18,19,1,2,0.090909091,94.74,100,Class_C,Class_A,classes mismatch,6ME3
MTNR1A,mtnr1ab,12,15,3,4,0.181818182,80,100,Class_F,Class_A,classes mismatch,6ME3
MTNR1A,mtnr1al,10,10,0,8,0.444444444,100,100,Class_A,Class_A,classes match,6ME3
MTNR1A,mtnr1al,13,14,1,7,0.318181818,92.86,100,Class_C,Class_A,classes mismatch,6ME3
MTNR1A,mtnr1al,2,3,1,16,0.8,66.67,100,Class_F,Class_A,classes mismatch,6ME3
MTNR1B,mtnr1ba,20,24,4,0,0,83.33,100,Class_B1,Class_A,classes mismatch,6ME6
MTNR1B,mtnr1bb,22,24,2,0,0,91.67,100,Class_B1,Class_A,classes mismatch,6ME6
NMUR1,nmur1a,19,22,3,1,0.038461538,86.36,100,Class_B1,Class_A,classes mismatch,7W53
NPBWR2,npbwr2a,16,18,2,2,0.090909091,88.89,100,Class_C,Class_A,classes mismatch,-
NPBWR2,npbwr2b,15,15,0,2,0.117647059,100,100,Class_A,Class_A,classes match,-
NPBWR2,npbwr2b,16,16,0,4,0.2,100,100,Class_C,Class_A,classes mismatch,-
NPBWR2,npbwr2b,12,13,1,8,0.363636364,92.31,100,Class_F,Class_A,classes mismatch,-
NPFFR1,npffr1,12,13,1,3,0.176470588,92.31,100,Class_A,Class_A,classes match,9VI9
NPFFR1,npffr1,14,14,0,5,0.263157895,100,100,Class_C,Class_A,classes mismatch,9VI9
NPFFR1,npffr1l1,12,16,4,0,0,75,100,Class_A,Class_A,classes match,9VI9
NPFFR1,npffr1l1,5,5,0,14,0.736842105,100,100,Class_C,Class_A,classes mismatch,9VI9
NPFFR1,npffr1l2,14,15,1,1,0.058823529,93.33,100,Class_A,Class_A,classes match,9VI9
NPFFR1,npffr1l2,16,18,2,1,0.047619048,88.89,100,Class_C,Class_A,classes mismatch,9VI9
NPFFR1,npffr1l2,0,1,1,19,0.904761905,0,100,Class_F,Class_A,classes mismatch,9VI9
NPFFR1,npffr1l3,14,15,1,1,0.058823529,93.33,100,Class_A,Class_A,classes match,9VI9
NPFFR1,npffr1l3,15,18,3,1,0.045454545,83.33,100,Class_C,Class_A,classes mismatch,9VI9
NPFFR2,npffr2a,15,15,0,0,0,100,100,Class_A,Class_A,classes match,9JG0
NPFFR2,npffr2a,24,24,0,1,0.04,100,100,Class_B1,Class_A,classes mismatch,9JG0
NPFFR2,npffr2a,18,18,0,1,0.052631579,100,100,Class_C,Class_A,classes mismatch,9JG0
NPFFR2,npffr2b,15,15,0,0,0,100,100,Class_A,Class_A,classes match,9JG0
NPFFR2,npffr2b,23,24,1,1,0.038461538,95.83,100,Class_B1,Class_A,classes mismatch,9JG0
NPFFR2,npffr2b,17,18,1,1,0.05,94.44,100,Class_C,Class_A,classes mismatch,9JG0
NPY1R,npy1r,13,17,4,2,0.086956522,76.47,100,Class_C,Class_A,classes mismatch,5ZBH
NPY2R,npy2r,21,25,4,0,0,84,100,Class_B1,Class_A,classes mismatch,7DDZ
NPY2R,npy2rl,21,24,4,0,0,84,96,Class_B1,Class_A,classes mismatch,7DDZ
NPY4R,npy4r,17,22,6,1,0.034482759,73.91,95.65,Class_B1,Class_A,classes mismatch,7X9C
NTSR1,ntsr1,17,20,3,0,0,85,100,Class_A,Class_A,classes match,5T04
NTSR1,ntsr1,21,22,1,1,0.041666667,95.45,100,Class_B1,Class_A,classes mismatch,5T04
NTSR1,ntsr1,2,4,2,15,0.714285714,50,100,Class_C,Class_A,classes mismatch,5T04
NTSR1,ntsr1,11,11,0,16,0.592592593,100,100,Class_F,Class_A,classes mismatch,5T04
OPN1LW,opn1lw1,23,23,0,0,0,100,100,Class_A,Class_A,classes match,8IU2
OPN1LW,opn1lw1,11,14,3,5,0.227272727,78.57,100,Class_B1,Class_A,classes mismatch,8IU2
OPN1LW,opn1lw1,21,21,0,2,0.086956522,100,100,Class_C,Class_A,classes mismatch,8IU2
OPN1LW,opn1lw1,26,28,2,2,0.0625,92.86,100,Class_F,Class_A,classes mismatch,8IU2
OPN1SW,opn1sw1,18,23,6,0,0,75,95.83,Class_A,Class_A,classes match,8Y02
OPN1SW,opn1sw1,21,23,3,2,0.071428571,87.5,95.83,Class_B1,Class_A,classes mismatch,8Y02
OPN3,opn3,12,17,7,3,0.111111111,63.16,89.47,Class_A,Class_A,classes match,-
OPN3,opn3,13,17,6,6,0.206896552,68.42,89.47,Class_B1,Class_A,classes mismatch,-
OPN4,opn4a,19,20,1,3,0.125,95,100,Class_A,Class_A,classes match,-
OPN4,opn4a,1,5,4,15,0.625,20,100,Class_C,Class_A,classes mismatch,-
OPN4,opn4a,23,26,3,1,0.033333333,88.46,100,Class_F,Class_A,classes mismatch,-
OPN4,opn4b,21,21,0,2,0.086956522,100,100,Class_A,Class_A,classes match,-
OPN4,opn4b,25,27,2,0,0,92.59,100,Class_F,Class_A,classes mismatch,-
OPN5,opn5,15,18,3,1,0.045454545,83.33,100,Class_A,Class_A,classes match,-
OPN5,opn5,18,18,0,0,0,100,100,Class_C,Class_A,classes mismatch,-
OPN5,opn5,25,26,1,2,0.068965517,96.15,100,Class_F,Class_A,classes mismatch,-
OPRD1,oprd1a,16,20,4,6,0.2,80,100,Class_B1,Class_A,classes mismatch,4EJ4
OPRD1,oprd1a,14,16,2,3,0.142857143,87.5,100,Class_C,Class_A,classes mismatch,4EJ4
OPRD1,oprd1b,14,15,1,5,0.238095238,93.33,100,Class_A,Class_A,classes match,4EJ4
OPRD1,oprd1b,22,25,3,1,0.034482759,88,100,Class_B1,Class_A,classes mismatch,4EJ4
OPRD1,oprd1b,14,16,2,3,0.142857143,87.5,100,Class_C,Class_A,classes mismatch,4EJ4
OPRK1,oprk1,12,13,1,3,0.176470588,92.31,100,Class_A,Class_A,classes match,4DJH
OPRK1,oprk1,25,26,1,1,0.035714286,96.15,100,Class_B1,Class_A,classes mismatch,4DJH
OPRK1,oprk1,16,17,1,1,0.052631579,94.12,100,Class_C,Class_A,classes mismatch,4DJH
OPRL1,oprl1,9,12,3,3,0.166666667,75,100,Class_A,Class_A,classes match,4EA3
OPRM1,oprm1,13,13,0,1,0.071428571,100,100,Class_A,Class_A,classes match,4DKL
OPRM1,oprm1,13,13,0,5,0.277777778,100,100,Class_C,Class_A,classes mismatch,4DKL
OXGR1,oxgr1a.1,14,17,3,3,0.130434783,82.35,100,Class_F,Class_A,classes mismatch,8YYX
OXGR1,oxgr1a.2,2,2,0,22,0.916666667,100,100,Class_C,Class_A,classes mismatch,8YYX
OXGR1,oxgr1a.2,15,19,4,1,0.041666667,78.95,100,Class_F,Class_A,classes mismatch,8YYX
OXGR1,oxgr1a.3,15,19,4,1,0.041666667,78.95,100,Class_F,Class_A,classes mismatch,8YYX
OXGR1,oxgr1b,5,5,0,24,0.827586207,100,100,Class_B1,Class_A,classes mismatch,8YYX
OXTR,oxtra,20,24,4,1,0.034482759,83.33,100,Class_B1,Class_A,classes mismatch,6TPK
OXTR,oxtrb,14,17,3,0,0,82.35,100,Class_A,Class_A,classes match,6TPK
OXTR,oxtrb,19,24,5,1,0.033333333,79.17,100,Class_B1,Class_A,classes mismatch,6TPK
OXTR,oxtrb,15,18,3,2,0.086956522,83.33,100,Class_C,Class_A,classes mismatch,6TPK
