human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity,best class alignment
HTR7,htr7a,17,17,0,2,100.0,100.0,Class_C
KISS1R,kiss1ra,14,22,9,1,60.87,95.65,Class_B1
KISS1R,kiss1rb,14,18,5,5,73.68,94.74,Class_B1
LGR4,lgr4,19,19,0,3,100.0,100.0,Class_A
LGR4,lgr4,17,19,2,4,89.47,100.0,Class_F
LGR6,lgr6,11,15,4,9,73.33,100.0,Class_F
LHCGR,lhcgr,1,1,0,21,100.0,100.0,Class_B1
LPAR1,lpar1,25,26,1,0,96.15,100.0,Class_B1
LPAR1,lpar1,20,21,1,0,95.24,100.0,Class_C
LPAR2,lpar2a,20,23,4,1,83.33,95.83,Class_B1
LPAR2,lpar2b,20,23,3,2,86.96,100.0,Class_B1
LPAR3,lpar3,11,16,5,1,68.75,100.0,Class_A
LPAR3,lpar3,22,23,1,3,95.65,100.0,Class_B1
LPAR4,lpar4,13,14,1,2,92.86,100.0,Class_A
LPAR4,lpar4,22,27,5,0,81.48,100.0,Class_B1
LPAR4,lpar4,18,20,2,1,90.0,100.0,Class_C
LPAR5,lpar5a,9,18,12,7,42.86,85.71,Class_B1
LPAR5,lpar5b,8,14,10,10,44.44,77.78,Class_B1
LPAR6,lpar6a,16,16,0,0,100.0,100.0,Class_A
LPAR6,lpar6a,13,14,1,13,92.86,100.0,Class_B1
LPAR6,lpar6a,15,19,4,1,78.95,100.0,Class_C
LPAR6,lpar6a,13,13,0,6,100.0,100.0,Class_F
LPAR6,lpar6b,22,24,3,2,88.0,96.0,Class_B1
LTB4R,ltb4r,11,23,13,0,45.83,95.83,Class_B1
LTB4R2,ltb4r2a,9,16,8,8,52.94,94.12,Class_B1
LTB4R2,ltb4r2b,8,18,12,5,40.0,90.0,Class_B1
MC1R,mc1r,12,12,1,5,92.31,92.31,Class_C
MC2R,mc2r,7,8,3,7,70.0,80.0,Class_A
MC3R,mc3r,17,17,0,2,100.0,100.0,Class_A
MC3R,mc3r,19,22,3,1,86.36,100.0,Class_B1
MC4R,mc4r,12,13,1,5,92.31,100.0,Class_A
MC4R,mc4r,15,15,0,6,100.0,100.0,Class_B1
MC4R,mc4r,5,5,0,12,100.0,100.0,Class_C
MC5R,mc5ra,17,18,1,0,94.44,100.0,Class_A
MC5R,mc5ra,10,11,1,8,90.91,100.0,Class_C
MC5R,mc5rb,15,17,2,1,88.24,100.0,Class_A
MC5R,mc5rb,2,2,0,17,100.0,100.0,Class_C
MC5R,mc5rb,13,13,0,11,100.0,100.0,Class_F
MCHR1,mchr1a,18,25,8,1,69.23,96.15,Class_B1
MCHR1,mchr1b,0,2,2,20,0.0,100.0,Class_F
MCHR2,mchr2a,17,22,5,3,77.27,100.0,Class_B1
MCHR2,mchr2a,13,14,1,1,92.86,100.0,Class_F
MCHR2,mchr2b,0,0,1,17,0.0,0.0,Class_A
MCHR2,mchr2b,0,0,1,24,0.0,0.0,Class_B1
MCHR2,mchr2b,0,0,1,20,0.0,0.0,Class_C
MCHR2,mchr2b,0,0,1,14,0.0,0.0,Class_F
MLNR,mlnr,5,10,5,7,50.0,100.0,Class_F
MTNR1A,mtnr1aa,0,1,1,20,0.0,100.0,Class_C
MTNR1A,mtnr1aa,13,15,2,4,86.67,100.0,Class_F
MTNR1A,mtnr1ab,16,17,1,1,94.12,100.0,Class_A
MTNR1A,mtnr1ab,18,19,1,2,94.74,100.0,Class_C
MTNR1A,mtnr1ab,12,15,3,4,80.0,100.0,Class_F
MTNR1A,mtnr1al,10,10,0,8,100.0,100.0,Class_A
MTNR1A,mtnr1al,13,14,1,7,92.86,100.0,Class_C
MTNR1A,mtnr1al,2,3,1,16,66.67,100.0,Class_F
MTNR1B,mtnr1ba,20,24,4,0,83.33,100.0,Class_B1
MTNR1B,mtnr1bb,22,24,2,0,91.67,100.0,Class_B1
NMUR1,nmur1a,19,22,3,1,86.36,100.0,Class_B1
NPBWR2,npbwr2a,16,18,2,2,88.89,100.0,Class_C
NPBWR2,npbwr2b,15,15,0,2,100.0,100.0,Class_A
NPBWR2,npbwr2b,16,16,0,4,100.0,100.0,Class_C
NPBWR2,npbwr2b,12,13,1,8,92.31,100.0,Class_F
NPFFR1,npffr1,12,13,1,3,92.31,100.0,Class_A
NPFFR1,npffr1,14,14,0,5,100.0,100.0,Class_C
NPFFR1,npffr1l1,12,16,4,0,75.0,100.0,Class_A
NPFFR1,npffr1l1,5,5,0,14,100.0,100.0,Class_C
NPFFR1,npffr1l2,14,15,1,1,93.33,100.0,Class_A
NPFFR1,npffr1l2,16,18,2,1,88.89,100.0,Class_C
NPFFR1,npffr1l2,0,1,1,19,0.0,100.0,Class_F
NPFFR1,npffr1l3,14,15,1,1,93.33,100.0,Class_A
NPFFR1,npffr1l3,15,18,3,1,83.33,100.0,Class_C
NPFFR2,npffr2a,15,15,0,0,100.0,100.0,Class_A
NPFFR2,npffr2a,24,24,0,1,100.0,100.0,Class_B1
NPFFR2,npffr2a,18,18,0,1,100.0,100.0,Class_C
NPFFR2,npffr2b,15,15,0,0,100.0,100.0,Class_A
NPFFR2,npffr2b,23,24,1,1,95.83,100.0,Class_B1
NPFFR2,npffr2b,17,18,1,1,94.44,100.0,Class_C
NPY1R,npy1r,13,17,4,2,76.47,100.0,Class_C
NPY2R,npy2r,21,25,4,0,84.0,100.0,Class_B1
NPY2R,npy2rl,21,24,4,0,84.0,96.0,Class_B1
NPY4R,npy4r,17,22,6,1,73.91,95.65,Class_B1
NTSR1,ntsr1,17,20,3,0,85.0,100.0,Class_A
NTSR1,ntsr1,21,22,1,1,95.45,100.0,Class_B1
NTSR1,ntsr1,2,4,2,15,50.0,100.0,Class_C
NTSR1,ntsr1,11,11,0,16,100.0,100.0,Class_F
OPN1LW,opn1lw1,23,23,0,0,100.0,100.0,Class_A
OPN1LW,opn1lw1,11,14,3,5,78.57,100.0,Class_B1
OPN1LW,opn1lw1,21,21,0,2,100.0,100.0,Class_C
OPN1LW,opn1lw1,26,28,2,2,92.86,100.0,Class_F
OPN1SW,opn1sw1,18,23,6,0,75.0,95.83,Class_A
OPN1SW,opn1sw1,21,23,3,2,87.5,95.83,Class_B1
OPN3,opn3,12,17,7,3,63.16,89.47,Class_A
OPN3,opn3,13,17,6,6,68.42,89.47,Class_B1
OPN4,opn4a,19,20,1,3,95.0,100.0,Class_A
OPN4,opn4a,1,5,4,15,20.0,100.0,Class_C
OPN4,opn4a,23,26,3,1,88.46,100.0,Class_F
OPN4,opn4b,21,21,0,2,100.0,100.0,Class_A
OPN4,opn4b,25,27,2,0,92.59,100.0,Class_F
OPN5,opn5,15,18,3,1,83.33,100.0,Class_A
OPN5,opn5,18,18,0,0,100.0,100.0,Class_C
OPN5,opn5,25,26,1,2,96.15,100.0,Class_F
OPRD1,oprd1a,16,20,4,6,80.0,100.0,Class_B1
OPRD1,oprd1a,14,16,2,3,87.5,100.0,Class_C
OPRD1,oprd1b,14,15,1,5,93.33,100.0,Class_A
OPRD1,oprd1b,22,25,3,1,88.0,100.0,Class_B1
OPRD1,oprd1b,14,16,2,3,87.5,100.0,Class_C
OPRK1,oprk1,12,13,1,3,92.31,100.0,Class_A
OPRK1,oprk1,25,26,1,1,96.15,100.0,Class_B1
OPRK1,oprk1,16,17,1,1,94.12,100.0,Class_C
OPRL1,oprl1,9,12,3,3,75.0,100.0,Class_A
OPRM1,oprm1,13,13,0,1,100.0,100.0,Class_A
OPRM1,oprm1,13,13,0,5,100.0,100.0,Class_C
OXGR1,oxgr1a.1,14,17,3,3,82.35,100.0,Class_F
OXGR1,oxgr1a.2,2,2,0,22,100.0,100.0,Class_C
OXGR1,oxgr1a.2,15,19,4,1,78.95,100.0,Class_F
OXGR1,oxgr1a.3,15,19,4,1,78.95,100.0,Class_F
OXGR1,oxgr1b,5,5,0,24,100.0,100.0,Class_B1
OXTR,oxtra,20,24,4,1,83.33,100.0,Class_B1
OXTR,oxtrb,14,17,3,0,82.35,100.0,Class_A
OXTR,oxtrb,19,24,5,1,79.17,100.0,Class_B1
OXTR,oxtrb,15,18,3,2,83.33,100.0,Class_C
OXTR,oxtrb,14,16,2,1,87.5,100.0,Class_F
P2RY1,p2ry1,0,1,1,26,0.0,100.0,Class_F
P2RY10,p2ry10,15,15,0,2,100.0,100.0,Class_A
P2RY10,p2ry10,18,21,3,0,85.71,100.0,Class_C
P2RY11,p2ry11,0,3,3,20,0.0,100.0,Class_C
P2RY12,p2ry12,16,16,0,0,100.0,100.0,Class_A
P2RY13,p2ry13,11,12,2,6,84.62,92.31,Class_A
P2RY2,p2ry2.1,15,16,1,3,93.75,100.0,Class_A
P2RY2,p2ry2.1,1,1,0,20,100.0,100.0,Class_F
P2RY2,p2ry2.2,16,18,2,1,88.89,100.0,Class_A
P2RY2,p2ry2.2,4,4,0,18,100.0,100.0,Class_C
P2RY2,p2ry2.2,10,11,1,10,90.91,100.0,Class_F
P2RY2,p2ry2.3,17,19,2,0,89.47,100.0,Class_A
P2RY2,p2ry2.3,17,21,4,1,80.95,100.0,Class_C
P2RY2,p2ry2.3,1,1,0,20,100.0,100.0,Class_F
P2RY8,p2ry8,17,18,2,1,89.47,94.74,Class_A
PITPNM3,pitpnm3,0,2,5,17,0.0,40.0,Class_F
PROKR1,prokr1a,14,15,1,2,93.33,100.0,Class_A
PROKR1,prokr1a,18,20,2,1,90.0,100.0,Class_C
PROKR1,prokr1b,13,15,2,2,86.67,100.0,Class_A
PROKR1,prokr1b,13,16,3,5,81.25,100.0,Class_C
PTAFR,ptafr,16,17,1,3,94.12,100.0,Class_A
PTAFR,ptafr,5,8,3,19,62.5,100.0,Class_B1
PTAFR,ptafr,1,1,0,23,100.0,100.0,Class_F
PTGER1,ptger1a,17,18,2,3,89.47,94.74,Class_B1
PTGER1,ptger1b,16,18,2,4,88.89,100.0,Class_C
PTGER1,ptger1c,16,20,5,1,76.19,95.24,Class_B1
PTGER2,ptger2a,9,15,10,4,47.37,78.95,Class_C
PTGER2,ptger2b,10,16,8,8,55.56,88.89,Class_B1
PTGER3,ptger3,21,22,1,0,95.45,100.0,Class_A
PTGER4,ptger4a,16,17,1,1,94.12,100.0,Class_A
PTGER4,ptger4a,23,24,1,2,95.83,100.0,Class_B1
PTGER4,ptger4b,16,17,1,1,94.12,100.0,Class_A
PTGER4,ptger4c,18,22,6,2,75.0,91.67,Class_B1
PTGFR,ptgfr,22,25,3,2,88.0,100.0,Class_B1
PTGIR,ptgir,16,19,3,2,84.21,100.0,Class_A
PTH1R,pth1r,22,23,1,2,95.65,100.0,Class_B1
PTH1R,pth1r,13,14,1,2,92.86,100.0,Class_C
PTH1R,pth1r,5,5,0,8,100.0,100.0,Class_F
PTH2R,pth2ra,12,13,1,3,92.31,100.0,Class_A
PTH2R,pth2ra,2,2,0,15,100.0,100.0,Class_F
PTH2R,pth2rb,12,13,1,3,92.31,100.0,Class_A
PTH2R,pth2rb,8,9,1,8,88.89,100.0,Class_F
QRFPR,qrfpra,5,6,1,12,83.33,100.0,Class_C
QRFPR,qrfprb,13,15,2,0,86.67,100.0,Class_A
QRFPR,qrfprb,19,23,4,1,82.61,100.0,Class_B1
RGR,rgra,15,17,2,2,88.24,100.0,Class_A
RGR,rgrb,9,15,8,2,52.94,88.24,Class_A
RHO,rho,21,22,1,2,95.45,100.0,Class_A
RHO,rho,19,21,2,2,90.48,100.0,Class_B1
RHO,rho,29,31,2,0,93.55,100.0,Class_F
RRH,rrh,17,17,0,1,100.0,100.0,Class_A
RRH,rrh,13,13,0,0,100.0,100.0,Class_C
RRH,rrh,18,18,0,4,100.0,100.0,Class_F
RXFP1,rxfp1,20,22,2,1,90.91,100.0,Class_A
RXFP1,rxfp1,1,1,0,21,100.0,100.0,Class_C
RXFP2,rxfp2a,20,20,0,4,100.0,100.0,Class_B1
RXFP2,rxfp2a,12,17,5,9,70.59,100.0,Class_F
RXFP2,rxfp2b,20,20,0,4,100.0,100.0,Class_B1
RXFP2,rxfp2b,17,21,4,3,80.95,100.0,Class_C
RXFP3,rxfp3,15,16,1,0,93.75,100.0,Class_A
RXFP3,rxfp3,18,20,2,1,90.0,100.0,Class_C
S1PR1,s1pr1,17,17,0,0,100.0,100.0,Class_A
S1PR1,s1pr1,17,18,1,0,94.44,100.0,Class_C
S1PR2,s1pr2,22,23,1,0,95.65,100.0,Class_B1
S1PR3,s1pr3a,18,23,5,2,78.26,100.0,Class_B1
S1PR4,s1pr4,12,14,2,1,85.71,100.0,Class_A
S1PR4,s1pr4,4,4,0,16,100.0,100.0,Class_C
S1PR5,s1pr5a,15,18,3,2,83.33,100.0,Class_A
S1PR5,s1pr5a,0,3,3,16,0.0,100.0,Class_C
S1PR5,s1pr5b,24,24,1,4,96.0,96.0,Class_F
SMO,smo,20,20,0,2,100.0,100.0,Class_A
SMO,smo,27,27,0,1,100.0,100.0,Class_B1
SMO,smo,19,21,2,2,90.48,100.0,Class_C
SSTR1,sstr1a,14,15,1,3,93.33,100.0,Class_A
SSTR2,sstr2a,12,14,2,7,85.71,100.0,Class_A
SSTR2,sstr2a,15,17,2,4,88.24,100.0,Class_C
SSTR2,sstr2a,5,5,0,12,100.0,100.0,Class_F
SSTR2,sstr2b,11,15,4,6,73.33,100.0,Class_A
SSTR2,sstr2b,15,16,1,5,93.75,100.0,Class_C
SSTR3,sstr3,23,25,2,0,92.0,100.0,Class_B1
SSTR5,sstr5,15,17,2,2,88.24,100.0,Class_A
TAAR1,taar1b,16,24,9,0,64.0,96.0,Class_B1
TACR1,tacr1a,22,24,2,0,91.67,100.0,Class_B1
TACR1,tacr1b,22,24,2,0,91.67,100.0,Class_B1
TACR1,tacr1b,15,19,4,5,78.95,100.0,Class_F
TACR2,tacr2,16,17,1,2,94.12,100.0,Class_C
TACR2,tacr2,18,19,1,2,94.74,100.0,Class_F
TACR3,tacr3a,19,22,3,1,86.36,100.0,Class_B1
TACR3,tacr3l,19,22,3,1,86.36,100.0,Class_B1
TBXA2R,tbxa2r,16,18,2,2,88.89,100.0,Class_A
TBXA2R,tbxa2r,10,13,3,16,76.92,100.0,Class_F
TRHR,trhra,18,19,1,0,94.74,100.0,Class_A
TRHR,trhra,25,26,1,1,96.15,100.0,Class_B1
TRHR,trhra,17,18,1,0,94.44,100.0,Class_C
TRHR,trhrb,14,15,1,4,93.33,100.0,Class_A
TRHR,trhrb,22,25,3,2,88.0,100.0,Class_B1
TRHR,trhrb,16,18,2,0,88.89,100.0,Class_C
TSHR,tshr,15,16,1,0,93.75,100.0,Class_A
TSHR,tshr,11,12,1,12,91.67,100.0,Class_B1
VIPR1,vipr1a,17,20,3,5,85.0,100.0,Class_B1
VIPR1,vipr1b,14,15,1,10,93.33,100.0,Class_B1
VIPR1,vipr1b,10,13,3,6,76.92,100.0,Class_C
VIPR1,vipr1b,3,6,3,10,50.0,100.0,Class_F
VIPR2,vipr2,23,24,1,2,95.83,100.0,Class_B1
VIPR2,vipr2,4,4,0,3,100.0,100.0,Class_F
XCR1,xcr1a.1,11,13,8,1,57.89,68.42,Class_A
XCR1,xcr1b.1,9,12,9,2,50.0,66.67,Class_A
XCR1,xcr1b.2,0,1,1,22,0.0,100.0,Class_C
