human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method
RRH,rrh,22,0,2,100.0,Class_F,super
RXFP1,rxfp1,20,1,1,95.24,Class_A,super
RXFP2,rxfp2a,20,0,6,100.0,Class_B1,super
RXFP2,rxfp2b,19,0,7,100.0,Class_B1,super
RXFP3,rxfp3,11,0,3,100.0,Class_A,super
S1PR1,s1pr1,15,0,1,100.0,Class_A,align
S1PR1,s1pr1,16,0,5,100.0,Class_A (4S0V),super
S1PR1,s1pr1,16,0,3,100.0,Class_A,super
S1PR1,s1pr1,21,0,3,100.0,Class_C,super
S1PR2,s1pr2,21,0,1,100.0,Class_B1,super
S1PR3,s1pr3a,15,1,2,93.75,Class_A,super
S1PR4,s1pr4,17,2,1,89.47,Class_A,super
S1PR5,s1pr5a,19,1,2,95.0,Class_A (4S0V),super
S1PR5,s1pr5b,16,2,2,88.89,Class_A,super
SMO,smo,20,0,0,100.0,Class_A (4S0V),super
SSTR1,sstr1a,16,1,4,94.12,Class_A (4S0V),super
SSTR2,sstr2a,20,2,2,90.91,Class_B1,align
SSTR2,sstr2b,20,3,0,86.96,Class_B1,super
SSTR3,sstr3,8,1,17,88.89,Class_B1,align
SSTR5,sstr5,15,3,0,83.33,Class_A,super
TAAR1,taar1b,17,5,2,77.27,Class_A (4S0V),super
TACR1,tacr1a,17,3,1,85.0,Class_A (4S0V),super
TACR1,tacr1b,18,3,0,85.71,Class_A (4S0V),super
TACR2,tacr2,18,0,1,100.0,Class_A (4S0V),super
TACR3,tacr3a,13,4,2,76.47,Class_A,align
TACR3,tacr3l,10,1,12,90.91,Class_B1,super
TBXA2R,tbxa2r,19,2,4,90.48,Class_A (4S0V),super
TRHR,trhra,20,0,0,100.0,Class_A (4S0V),super
TRHR,trhrb,14,1,3,93.33,Class_A,align
TRHR,trhrb,14,1,3,93.33,Class_A,super
TSHR,tshr,16,1,3,94.12,Class_A (4S0V),super
TSHR,tshr,16,1,0,94.12,Class_A,super
VIPR1,vipr1a,12,1,4,92.31,Class_A (4S0V),super
VIPR1,vipr1b,1,0,15,100.0,Class_F,align
VIPR2,vipr2,22,1,2,95.65,Class_B1,align
VIPR2,vipr2,22,1,4,95.65,Class_B1,super
XCR1,xcr1a.1,10,8,2,55.56,Class_A,align
XCR1,xcr1b.1,14,4,8,77.78,Class_B1,super
XCR1,xcr1b.2,15,7,4,68.18,Class_B1,super
ADGRL3,adgrl3.1,16,0,1,100.0,Class_A (4S0V),super
ADGRL3,adgrl3.1,18,0,0,100.0,Class_A,super
ADGRL3,adgrl3.1,20,0,4,100.0,Class_B1,super
CRHR2,crhr2,0,0,12,0.0,Class_A,align
CRHR2,crhr2,0,2,28,0.0,Class_B1,align
CRHR2,crhr2,0,0,22,0.0,Class_C,align
CRHR2,crhr2,0,2,5,0.0,Class_F,align
CRHR2,crhr2,0,1,15,0.0,Class_A (4S0V),super
CRHR2,crhr2,0,0,9,0.0,Class_A,super
CRHR2,crhr2,0,5,26,0.0,Class_B1,super
CRHR2,crhr2,0,4,13,0.0,Class_C,super
CRHR2,crhr2,0,0,9,0.0,Class_F,super
